match_id,minute,location_y,pass_end_location,period,player,pass_recipient,pass_type,pass_length,second,timestamp,x,endx,y,endy
3895067,27,"(90.2, 22.2)","(91.4, 35.8)",1,Exequiel Alejandro Palacios,Victor Okoh Boniface,,13.652839,48,00:27:48.562,90.2,91.4,22.2,35.8
3895067,27,"(94.4, 28.6)","(114.0, 23.8)",1,Victor Okoh Boniface,Alejandro Grimaldo García,,20.179197,51,00:27:51.891,94.4,114.0,28.6,23.8
3895067,27,"(117.5, 24.5)","(108.9, 33.9)",1,Alejandro Grimaldo García,Exequiel Alejandro Palacios,,12.740487,54,00:27:54.403,117.5,108.9,24.5,33.9
3895067,28,"(90.8, 6.5)","(81.5, 16.0)",1,Exequiel Alejandro Palacios,Edmond Fayçal Tapsoba,,13.29436,12,00:28:12.001,90.8,81.5,6.5,16.0
3895067,28,"(80.8, 20.3)","(81.7, 52.6)",1,Edmond Fayçal Tapsoba,Odilon Kossonou,,32.31254,14,00:28:14.266,80.8,81.7,20.3,52.6
3895067,28,"(81.1, 51.7)","(99.0, 63.7)",1,Odilon Kossonou,Jeremie Frimpong,,21.550175,18,00:28:18.605,81.1,99.0,51.7,63.7
3895067,28,"(116.8, 64.6)","(115.7, 58.4)",1,Odilon Kossonou,Victor Okoh Boniface,,6.2968245,30,00:28:30.041,116.8,115.7,64.6,58.4
3895067,29,"(84.0, 64.3)","(87.3, 61.1)",1,Exequiel Alejandro Palacios,Granit Xhaka,Recovery,4.596738,0,00:29:00.786,84.0,87.3,64.3,61.1
3895067,29,"(87.5, 51.7)","(91.4, 37.9)",1,Granit Xhaka,Victor Okoh Boniface,,14.340502,4,00:29:04.964,87.5,91.4,51.7,37.9
3895067,29,"(91.1, 37.9)","(80.6, 36.2)",1,Victor Okoh Boniface,Edmond Fayçal Tapsoba,,10.636729,5,00:29:05.470,91.1,80.6,37.9,36.2
3895067,29,"(83.1, 35.6)","(82.2, 46.4)",1,Edmond Fayçal Tapsoba,Exequiel Alejandro Palacios,,10.837435,8,00:29:08.393,83.1,82.2,35.6,46.4
3895067,29,"(81.7, 48.0)","(81.7, 32.1)",1,Exequiel Alejandro Palacios,Edmond Fayçal Tapsoba,,15.9,9,00:29:09.730,81.7,81.7,48.0,32.1
3895067,29,"(81.7, 32.1)","(89.1, 28.0)",1,Edmond Fayçal Tapsoba,Victor Okoh Boniface,,8.459906,11,00:29:11.018,81.7,89.1,32.1,28.0
3895067,29,"(50.4, 26.3)","(63.0, 32.7)",1,Edmond Fayçal Tapsoba,Granit Xhaka,,14.132233,31,00:29:31.539,50.4,63.0,26.3,32.7
3895067,29,"(63.0, 32.7)","(52.9, 39.7)",1,Granit Xhaka,Jonathan Tah,,12.288612,32,00:29:32.348,63.0,52.9,32.7,39.7
3895067,29,"(62.6, 43.2)","(65.9, 58.2)",1,Jonathan Tah,Odilon Kossonou,,15.358711,36,00:29:36.353,62.6,65.9,43.2,58.2
3895067,29,"(68.8, 60.2)","(77.1, 74.0)",1,Odilon Kossonou,Jeremie Frimpong,,16.103725,39,00:29:39.038,68.8,77.1,60.2,74.0
3895067,29,"(74.4, 74.0)","(65.6, 71.7)",1,Jeremie Frimpong,Odilon Kossonou,,9.095603,41,00:29:41.646,74.4,65.6,74.0,71.7
3895067,29,"(65.6, 71.7)","(52.4, 60.9)",1,Odilon Kossonou,Jonathan Tah,,17.055204,42,00:29:42.792,65.6,52.4,71.7,60.9
3895067,29,"(52.4, 60.9)","(63.0, 53.3)",1,Jonathan Tah,Granit Xhaka,,13.043006,44,00:29:44.614,52.4,63.0,60.9,53.3
